customer_id,recency,frequency,monetary,avg_order_value,tenure_days,R_score,F_score,M_score,RFM_score,RFM_sum,RFM_segment
12346,165,11,372.86,11.29878787878788,196,2,5,2,252,9,At Risk
12347,3,2,1323.32,18.63830985915493,37,5,2,4,524,11,Loyal Customers
12348,74,1,222.16,11.108,1,2,1,1,211,4,Lost Customers
12349,43,3,2671.14,26.18764705882353,181,3,3,5,335,11,Loyal Customers
12351,11,1,300.93,14.33,1,5,1,2,512,8,New Customers
12352,11,2,343.8,19.1,16,5,2,2,522,9,New Customers
12353,44,1,317.76,15.888,1,3,1,2,312,6,Lost Customers
12355,203,1,488.21,22.19136363636364,1,1,1,2,112,4,Lost Customers
12356,16,3,3560.3,42.89518072289157,44,4,3,5,435,12,Loyal Customers
12357,24,2,12079.99,73.2120606060606,1,4,2,5,425,11,Loyal Customers
12358,11,3,2719.01,46.879482758620696,356,5,3,5,535,13,Champions
12359,61,6,2563.36,21.90905982905983,308,3,4,5,345,12,Loyal Customers
12360,15,5,1590.83,18.07761363636364,276,5,4,4,544,13,Champions
12361,98,3,321.35,16.913157894736845,220,2,3,2,232,7,Potential Loyalists
12362,374,1,130.0,130.0,1,1,1,1,111,3,Lost Customers
12366,269,1,500.24,166.74666666666667,1,1,1,3,113,5,Lost Customers
12368,264,1,917.7,50.98333333333333,1,1,1,3,113,5,Lost Customers
12369,49,3,1791.15,19.25967741935484,228,3,3,4,334,10,Loyal Customers
12370,260,3,774.62,22.132,44,1,3,3,133,7,Potential Loyalists
12371,45,3,2179.42,20.95596153846154,235,3,3,5,335,11,Loyal Customers
12373,260,2,763.0500000000001,20.62297297297297,49,1,2,3,123,6,Lost Customers
12374,57,3,2246.29,44.9258,166,3,3,5,335,11,Loyal Customers
12376,25,2,503.15,38.70384615384615,28,4,2,3,423,9,New Customers
12377,17,2,1798.2,23.976,208,4,2,4,424,10,Loyal Customers
12378,198,1,1407.7,17.167073170731708,1,1,1,4,114,6,Lost Customers
12379,58,2,767.98,18.73121951219512,112,3,2,3,323,8,Potential Loyalists
12380,101,7,6951.49,40.18202312138728,197,2,5,5,255,12,Loyal Customers
12385,15,1,1938.4,29.821538461538463,1,5,1,4,514,10,Loyal Customers
12386,2,1,258.90000000000003,32.362500000000004,1,5,1,2,512,8,New Customers
12387,51,1,143.94,15.993333333333332,1,3,1,1,311,5,Lost Customers
12388,81,2,1120.45,24.35760869565217,136,2,2,4,224,8,Potential Loyalists
