customer_id,recency,frequency,monetary,avg_order_value,tenure_days
12346,165,11,372.86,11.298787878787879,196
12347,3,2,1323.32,18.63830985915493,37
12348,74,1,222.15999999999997,11.107999999999999,1
12349,43,3,2671.14,26.18764705882353,181
12351,11,1,300.93,14.33,1
12352,11,2,343.8,19.1,16
12353,44,1,317.76,15.888,1
12355,203,1,488.21000000000004,22.191363636363636,1
12356,16,3,3560.3,42.89518072289157,44
12357,24,2,12079.99,73.2120606060606,1
12358,11,3,2719.01,46.879482758620696,356
12359,61,6,2563.36,21.90905982905983,308
12360,15,5,1590.83,18.077613636363637,276
12361,98,3,321.35,16.913157894736845,220
12362,374,1,130.0,130.0,1
12366,269,1,500.24,166.74666666666667,1
12368,264,1,917.7,50.983333333333334,1
12369,49,3,1791.15,19.25967741935484,228
12370,260,3,774.62,22.132,44
12371,45,3,2179.42,20.95596153846154,235
12373,260,2,763.0500000000001,20.622972972972974,49
12374,57,3,2246.29,44.9258,166
12376,25,2,503.15,38.70384615384615,28
12377,17,2,1798.2,23.976,208
12378,198,1,1407.7,17.167073170731708,1
12379,58,2,767.98,18.73121951219512,112
12380,101,7,6951.49,40.18202312138728,197
12385,15,1,1938.4,29.821538461538463,1
12386,2,1,258.90000000000003,32.362500000000004,1
12387,51,1,143.94,15.993333333333332,1
12388,81,2,1120.45,24.357608695652175,136
12389,38,3,1433.33,29.251632653061222,253
12391,100,5,2285.18,13.133218390804597,198
12392,227,1,234.75000000000003,33.53571428571429,1
12393,18,2,816.85,18.996511627906976,46
12395,7,4,2048.64,20.904489795918366,231
12396,310,1,931.4300000000001,14.329692307692309,1
12399,21,3,853.65,16.738235294117647,259
12400,50,1,205.25,18.65909090909091,1
12402,28,5,1031.3,17.47966101694915,277
12403,157,1,591.6600000000001,147.91500000000002,1
12404,318,1,63.24,63.24,1
12406,35,3,2975.06,48.771475409836064,297
12408,21,3,1452.22,26.892962962962965,112
12409,56,4,12346.62,79.65561290322582,144
12410,138,1,320.38,22.884285714285713,1
12411,45,1,346.9,15.768181818181818,1
12412,38,3,1370.05,20.758333333333333,137
12413,38,1,241.35,18.565384615384616,1
12414,99,3,390.0,39.0,1
12415,11,7,19543.84,92.18792452830189,152
12416,292,1,202.56,18.414545454545454,1
12417,46,11,3148.31,17.787062146892655,323
12418,49,3,1352.62,19.891470588235293,216
12419,21,2,503.01,20.1204,27
12421,51,2,291.56,14.578,90
12422,30,14,4428.24,33.29503759398496,327
12423,23,2,763.08,19.077,78
12424,58,2,1579.07,25.468870967741935,125
12425,84,1,964.21,17.53109090909091,1
12426,298,1,762.48,16.222978723404257,1
12427,7,1,303.5,30.35,1
12429,1,5,3735.51,49.15144736842105,180
12431,9,13,4370.52,25.708941176470592,320
12433,2,5,7205.39,25.19367132867133,110
12434,17,1,297.29,14.864500000000001,1
12435,32,4,6096.04,80.21105263157895,340
12437,31,21,7731.99,21.24173076923077,341
12439,318,2,1142.88,16.096901408450705,43
12440,98,2,859.2,26.85,255
12441,2,1,173.55,15.77727272727273,1
12443,368,1,485.31,23.11,1
12445,56,1,301.58000000000004,15.079000000000002,1
12449,46,2,768.6,76.86,28
12450,35,3,490.32,16.90758620689655,75
12451,99,3,3634.36,23.148789808917197,66
12454,31,4,13151.44,526.0576,25
12455,81,4,3413.09,24.913065693430656,276
12457,71,1,632.6800000000001,28.75818181818182,1
12458,63,2,830.09,18.045434782608698,60
12459,241,1,454.36,19.754782608695653,1
12460,92,1,326.65,18.147222222222222,1
12466,318,1,56.73,56.73,1
12467,59,1,132.8,14.755555555555556,1
12468,162,3,2941.2,26.260714285714283,156
12469,158,2,3070.54,40.40184210526316,14
12470,325,1,211.95,9.215217391304348,1
12471,10,49,20129.54,29.77742603550296,358
12472,5,13,11308.48,19.77006993006993,356
12474,14,13,5048.66,17.652657342657342,288
12475,45,1,426.26,17.0504,1
12476,32,12,7267.49,25.862953736654802,105
12477,35,3,7056.63,26.72965909090909,223
12480,35,3,2183.2200000000003,24.809318181818185,108
12481,1,6,6765.07,38.87971264367816,241
12482,212,29,23691.4,116.1343137254902,77
12483,14,11,2612.2000000000003,41.46349206349207,298
12484,119,6,1826.78,14.27171875,197
12485,165,1,708.1,20.826470588235296,1
12486,67,1,1037.28,21.168979591836734,1
